Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
ENH|IRISDMC|IC|30.2762|109.4944|102.84863363084578|-39.65120781513281|500|Enshi, Hubei Province, China
AAK|IRISDMC|II|42.6375|74.4942|103.27654198853683|-8.35735318625694|1633.1|Ala Archa, Kyrgyzstan
GNI|IRISDMC|IU|40.148|44.741|104.44645827329619|14.633510515381666|1609|Garni, Armenia
ASCN|IRISDMC|II|-7.9327|-14.3601|104.54643276184768|89.97949166269167|173|Butt Crater, Ascension Island
HKPS|IRISDMC|HK|22.277599|114.141502|106.26936461256692|-48.27198781548314|196.3|Po Shan, Hong Kong
PMSA|IRISDMC|IU|-64.7744|-64.0489|106.36560572928813|159.3537246202913|40|Palmer Station, Antarctica
JZAX|IRISDMC|II|40.0928|67.7118|106.38926951206633|-3.431086093896211|517.7|Jizzax, Uzbekistan
CTAO|IRISDMC|IU|-20.08765|146.24998|106.66641636385762|-103.41563292235435|367|Charters Towers, Australia
SIMI|IRISDMC|II|38.6585|69.0083|107.74386648673226|-4.589616531717853|1400.5|Simiganj, Tajikistan
DAV|IRISDMC|IU|7.0697|125.5791|108.59937588394614|-67.81792909505042|151|Davao, Philippines
KMI|IRISDMC|IC|25.1233|102.74|110.53623639688396|-37.79232287842816|1975|Kunming, Yunnan Province, China
HOPE|IRISDMC|II|-54.2836|-36.4879|111.30443691866571|141.88285566831732|20|Hope Point, South Georgia Island
QIZ|IRISDMC|IC|19.0291|109.8445|111.36447227839186|-47.3550348792996|240|Qiongzhong, Hainan Province, China
LSA|IRISDMC|IC|29.7031|91.127|111.65479766605483|-25.766554958869353|3660|Tibet, China
KBL|IRISDMC|IU|34.5408|69.0432|111.84356201409217|-4.999614983071308|1920|Kabul, Afghanistan
NIL|IRISDMC|II|33.6506|73.2686|112.30183650445699|-8.863950617289886|629|Nilore, Pakistan
MCQ|IRISDMC|AU|-54.4983|158.9403|113.67382803117714|-140.86616449193258|14|Macquarie Island
SHEL|IRISDMC|II|-15.9594|-5.7455|115.91355898140662|92.620077591726|537|Horse Pasture, St. Helena Island
TAU|IRISDMC|II|-42.9099|147.3204|116.0865224880004|-125.81590292793301|132|Hobart, Tasmania, Australia
WRAB|IRISDMC|II|-19.9336|134.36|116.34836460896994|-97.4156560345144|366|Tennant Creek, NT, Australia
CHTO|IRISDMC|IU|18.8141|98.9443|117.73604625538081|-38.43240879276849|420|Chiang Mai, Thailand
TRIS|IRISDMC|IU|-37.0681|-12.3152|119.74637879389223|117.04706365405032|60|Tristan da Cunha
SBA|IRISDMC|IU|-77.8492|166.7572|119.84972665579946|-166.34214285879185|50|Scott Base, Antarctica
RAYN|IRISDMC|II|23.5225|45.5032|120.5676471449144|19.109690528702945|631|Ar Rayn, Saudi Arabia
KAPI|IRISDMC|II|-5.0142|119.7517|120.5956407478404|-74.43087825804712|300|Kappang, Sulawesi, Indonesia
VNDA|IRISDMC|GT|-77.517275|161.852758|120.73824420142034|-165.59657704572706|121.1|Dry Valley, Vanda, Antarctica
UOSS|IRISDMC|II|24.9453|56.2042|121.2431890962326|7.641723276595316|284.4|Univ. of Sharjah, Sharjah, United Arab Emirates
QSPA|IRISDMC|IU|-89.9289|144.4382|123.42138946238211|-179.9158554537234|2850|South Pole Remote Earth Science Observatory (Quiet Zone)
BTDF|IRISDMC|MS|1.3617|103.775|128.51613748040194|-55.84822740231942|57|Bukit Timah Dairy Farm
MBWA|IRISDMC|IU|-21.159|119.7313|129.08082512721842|-91.2230168685379|190|Marble Bar, Western Australia
FURI|IRISDMC|IU|8.8952|38.6798|131.60146117630907|33.55028705078532|2570|Mt. Furi, Ethiopia
MBAR|IRISDMC|II|-0.6019|30.7382|135.10789009217837|49.8871350547737|1390|Mbarara, Uganda
NWAO|IRISDMC|IU|-32.9277|117.239|135.46405419538658|-104.95514385848014|380|Narrogin, Australia
PALK|IRISDMC|II|7.2728|80.7022|136.12796864957096|-25.182498697087468|460|Pallekele, Sri Lanka
TSUM|IRISDMC|IU|-19.2022|17.5838|136.9241366805032|82.6122894665027|1260|Tsumeb, Namibia
CASY|IRISDMC|IU|-66.2792|110.5354|137.1031441374896|-154.33386464655428|10|Casey, Antarctica
KMBO|IRISDMC|IU|-1.1271|37.2525|139.46071598850006|42.69193868497522|1950|Kilima Mbogo, Kenya
COCO|IRISDMC|II|-12.1901|96.8349|142.86630813615895|-63.12126591841824|1|West Island, Cocos (Keeling) Islands
LSZ|IRISDMC|IU|-15.2779|28.1882|143.41174238083732|68.96139096913153|1200|Lusaka, Zambia
SUR|IRISDMC|II|-32.3797|20.8117|144.47205674589992|100.3809407601204|1770|Sutherland, South Africa
LBTB|IRISDMC|GT|-25.015124|25.596598|146.14601171011932|85.75521639476587|1148.3|Lobatse, Botswana
MSEY|IRISDMC|II|-4.6737|55.4792|150.3294996978195|16.124242485266702|475|Mahe, Seychelles
DGAR|IRISDMC|II|-7.4121|72.4525|152.68714994676571|-19.861988013133374|1|Diego Garcia, Chagos Islands, Indian Ocean
ABPO|IRISDMC|II|-19.018|47.229|159.61338177567072|49.129678413204175|1528|Ambohimpanompo, Madagascar
